polis_id,polis_name,region,latitude,longitude,territory_size,start_date,end_date,chrono_text,population,pop_text,urban_size_ha,ha_text,relocated,relocation_details,coins,constitution_type,walls,monuments,crisis
15-Euboia,Euboia,Sikelia,,,,"-700, -720","-485, -483","Strabo 6.2.6 discusses its foundation together with the foundations of Himera (no. 24), Kallipolis (no. 27) and Selinous (no. 44), which may suggest a C7 date for the foundation; however, Ps.-Skymnos 287-88 treats the foundation alongside that of Mylai, so a C8l date cannot be entirely excluded. Euboia's existence as a polis ended when c. 485-483 Gelon sold its demos into slavery and relocated the pacheis to Syracuse",,,,,True,c. 485-483 Gelon sold its demos into slavery and relocated the pacheis to Syracuse (Hdt. 7.156.3); after that it was a Syracusan phrourion (Strabo 10.1.15). Gelon subjected it to the same treatment as Megara.,False,,,,"conflict, conquered"
16-Galeria,Galeria,Sikelia,,,,-460,,Galeria is called a polis in the urban and political senses at Diod. 16.67.3 (r 345/4); politai are mentioned at Diod. 19.104.1 (r 312). The internal collective use of the city-ethnic is found on C5m coins.,,,,,False,,True,,,,conflict
17-Gela,Gela,Sikelia,37.05,14.15,4,-689,,"Gela was founded 45 years after Syracuse, i.e. in 689/8, by colonists from Rhodos and Crete (Thuc. 6.4.3)",,,200,"The size of the Classical city, including a part of the lowland plains to the north but excluding the western cemetery and including the eastern sanctuary, was about 200 ha.",False,,True,tyranny,True,"akropolis, temple, theatre","conflict, conquered"
18-Heloron,Heloron,Sikelia,36.5,15.05,,-720,,Archaeological evidence points to a foundation in C8l-C7e (Voza (1973a) 117 no. 381; (1978)),1500:-350,"The 1,500 seating capacity of the C4-C2 theatre (infra) gives some indication of population size in the late Classical period.",9,The habitation area comprised about 9 ha.,False,,False,,True,"agora, temple, theatre",
19-Henna,Henna,Sikelia,37.35,14.15,,-664,,"According to Steph. Byz. 271.4, Henna was a foundation by Syracuse (no. 47) established in 664. While this may be evidence that a Greek identity was claimed for the city, the historicity of the report is doubtful. All evidence points to a Sikulan site strongly Heled: the archaeological evidence attests to some degree of Helation already from C6e.",,,,,False,,True,tyranny,True,"akropolis, agora, temple, theatre","conflict, conquered"
20-Herakleia,Herakleia,Sikelia,37.25,13.15,,-560,,"The foundation date is uncertain, but the perspective of a powerful Selinous securing its eastern border towards Akragas as well as archaeological evidence (infra) suggest a C6m date. Hdt. 5.46.2 calls it an apoikia of Selinous; the oecist(s) and the date of foundation are unknown, but the date must be post-628 (date of Selinous' foundation).",,,70,"The city did occupy the area of the later Heltic town, but probably also, at least in part, the western plateau within the first phase circuit wall-in all c. 60-70 ha",False,,False,,True,theatre,"conflict, conquered"
21-Herakleia,Herakleia,Sikelia,,,,-510,,"the beginning of the expedition is connected with the destruction of Sybaris (no. 70) by Kroton (no. 56) in c. 510 (Hdt. 5.45; cf. Merante (1970a), (1970b) 131-33, who argues for an earlier chronology). According to Diod. 4.23.3, Dorieus did in fact succeed in taking back the land of the Herakleidai, and founded a polis named Herakleia which prospered for a period before being razed to the ground by the Carthaginians.",,,,,False,,False,,,,"conflict, conquered"
22-Herbessos,Herbes(s)os,Sikelia,,,,-500,,"Greek C6e epigraphic material from Montagna di Marzo, the presumed site of Herbessos, includes votives to Herakles (cf. IGDS 166-68). Diod. 14.7.6 (r 404) suggests that it was fortified by C5l. The urban remains from this site are of C6m Sikel walls with C4 reinforcements in ashlar masonry.",,,,,False,,True,,True,,conflict
23-Herbita,Herbita,Sikelia,,,,,,,,,,,False,,True,tyranny,,,conflict
24-Himera,Himera,Sikelia,37.55,13.5,5,-648,-409,"The year of foundation, 648, is inferred from the notice that the city was inhabited for 240 years before its destruction in 409 (Diod. 13.62.4). Himera was pillaged and destroyed by the Carthaginians in 409; 3,000 surviving men were put to death, women and children were distributed to the victorious enemy and presumably enslaved (Diod. 13.59.4-62.5), and the site was abandoned (Diod. 11.49.4; Strabo 6.2.6), though there is some archaeological and numismatic evidence for re-occupation from c. 405 until the defeat of Dionysios I at Kronion in 383/2, when Himera became part of Carthaginian territory for good (Diod. 15.16.3).",20000:-500,"The C5e population has been calculated at 20,000, including a rural population of 10,000, by Asheri (1973), but this figure is probably on the low side, if one takes into account that the size of the urban centre of Himera is now calculated to be c. 80 ha (Allegro and Vassallo (1992) 147-48).",80,"the size of the urban centre of Himera is now calculated to be c. 80 ha (Allegro and Vassallo (1992) 147-48). The upper city occupied about 32 ha, the lower city about 50 ha (Allegro and Vassallo (1992) 145-47).",False,,True,tyranny,True,"akropolis, temple","conflict, conquered"
25-Hippana,Hippana,Sikelia,37.4,13.25,,-460,,"Rare C5m silver litrai have been attributed to Hippana; The urban remains are mainly from a C4m-C3m phase, which is interpreted as a Timoleontic refoundation of the originally indigenous settlement.",,,30,"Strongly built circuit walls in ashlar were raised on an acropolis and around the lower habitation plateau, 30 ha in area.",False,,True,,True,"akropolis, temple, theatre",conflict
26-Imachara,Imachara,Sikelia,37.5,14.2,,-500,,"a C5 kerykeion inscribed 'Imacharaion damosion' (IG xiv 589; LSAG 269, 276.23, dating it to 475-450; IGDS no. 199, dating it to C5) was found in the region of modern Nissoria",,,,,False,,True,,,,
27-Kallipolis,Kallipolis,Sikelia,,,,-720,,"The date of the foundation is unknown, but Ps.-Skymnos 286 mentions it alongside Naxos' other foundations (Leontinoi (no. 33), Zankle (no. 51) and Katane (no. 30)), and this may suggest that it was founded contemporaneously with them (i.e. C8l; M. Miller (1970) 35, 86). In Strabo's day it was deserted (6.2.6).",,,,,False,,False,,True,,"conflict, conquered"
28-Kamarina,Kamarina,Sikelia,36.5,14.25,4,-598,,"Kamarina was founded by Syracuse (no. 47), 135 years after the foundation of Syracuse itself, i.e. c. 598 (Thuc. 6.5.3); the date is confirmed by the archaeological evidence. In 484 Gelon destroyed Kamarina and transferred all Kamarinaians to Syracuse... Kamarina now probably ceased to exist until its refoundation by Gela in 461. In 461 (Diod. 11.76.5) Kamarina was refounded by Gela (Thuc. 6.5.3). A Timoleontic reinforcement of the population is reported by Diod. 16.82.7, and the archaeological evidence points to a revival of the city in C4s.",,,150,During the C4s/Timoleontic phase the site comprised a fortified area of not less than 150 ha.,True,"Kamarina was destroyed and refounded multiple times. In 484 Gelon destroyed Kamarina and transferred all Kamarinaians to Syracuse. In 461 Kamarina was refounded by Gela. Earlier, Hippokrates refounded the city c. 490. In 405 Dionysios I forced the inhabitants to relocate to Syracuse. The term used by Philistos and Timaios (= synoikizo) implies the participation in the new foundation of various unspecified groups.",True,,True,"agora, temple","conflict, conquered"
29-Kasmenai,Kasmenai,Sikelia,37.05,14.5,,-644,,"Kasmenai was founded in 644/3 (Thuc. 6.5.3) by Syracuse (no. 47), probably as a colony, although there is no mention of an oecist.",8000:unknown,"The sheer number of inhabitants, some 7-8,000 altogether, shows that the site must have been a proper town, and that some 2,000 soldiers max. must have been garrisoned in the town with their families.",70,"The settlement was founded on a high plateau (c. 70 ha), bounded by steep slopes and with no direct access to a hinterland.",False,,False,,True,"akropolis, temple",conflict
30-Katane,Katane,Sikelia,37.3,15.05,4,-729,,"Katane was founded by 'Thoukles and the Chalkidians from Naxos' (Thuc. 6.3.2; cf. Hellan. fr. 82), after these had founded Leontinoi in the fifth year after the foundation of Syracuse (i.e. 729: Thuc. 6.3.2).",10000:-476,"In 476, Hieron transferred the populations of Katane and Naxos to Leontinoi, renamed Katane as Aitna and settled it with 10,000 oiketores: 5,000 from the Peloponnese and 5,000 from Syracuse (Diod. 11.49.2)",100,"The central area of the Roman city may suggest the approximate extent of the Greek city. To the west this was delimited by the acropolis, to the north by the C6l-C5e cemetery (Orsi (1918)), to the north-east by the river Amenanos, and to the south-east by the sea, in all occupying an area of 75-100 ha (cf. Rizza (1996) 11-12).",True,"In 476, Hieron transferred the populations of Katane and Naxos to Leontinoi, renamed Katane as Aitna and settled it with 10,000 oiketores. After Hieron had died in 466, the Katanaians returned in 461 and expelled the Aitnaians. In 403 Dionysios I took possession of Katane, the inhabitants were sold into slavery and the city granted to Campanians, who in their turn were transplanted to Aitna in 396. In 394, the surviving Katanaians were settled by Rhegion in Mylai.",True,,True,"akropolis, agora, temple, bouleuterion, theatre","conflict, conquered"
31-Kentoripa,Kentoripa,Sikelia,37.35,14.45,,,,,,,,,True,"After Timoleon ousted the tyrant Nikodemos in 339, the freed inhabitants were given Syracusan citizenship and possibly transferred to Syracuse. Kentoripa was presumably later assigned new citizens (a Timoleontic refoundation), reflected in the striking of a new coinage and craft production of Greek type.",True,tyranny,,ekklesiastierion,"conflict, conquered"
32-Kephaloidion,Kephaloidion,Sikelia,38.0,14.0,,-420,,C5l-C4e coins; Himilkon of Carthage concluded a treaty of friendship with Himera and 'those settled at the phrourion of Kephaloidion' (Diod. 14.56.2). it was captured by Dionysios I in 396,,,,,False,,True,,True,,"conflict, conquered"
33-Leontinoi,Leontinoi,Sikelia,37.15,15.0,4,-729,,"Leontinoi was one of the early Chalkidian colonies in Sicily, founded by Chalkidians from Naxos under the leadership of Theokles five years after the foundation of Syracuse (i.e. traditionally 729: Thuc. 6.3.3; cf. Hellan. fr. 82).",10000:-396,"in 396 Dionysios resettled Leontinoi with, allegedly, 10,000 mercenaries (Diod. 14.78.2).",40,the total extent of the two plateaux with the central valley within the C6 circuit wall was about 40 ha.,True,"Leontinoi experienced multiple population transfers: In 476, Hieron transplanted populations of Naxos and Katane to Leontinoi. After 424, civil war led to the demos being expelled and the dynatoi moving to Syracuse; the site became a phrourion of Syracuse. In 405/4 it was resettled by citizens of Gela and Kamarina. In 403/2 Dionysios conquered it and moved all inhabitants to Syracuse. In 396 Dionysios resettled it with mercenaries. In 339 Timoleon transplanted the population to Syracuse.",True,,True,"akropolis, agora, temple, ekklesiastierion, theatre, law_courts","conflict, conquered"
34-Lipara,Lipara,Sikelia,38.3,14.55,2,"-580, -630",,"the foundation was the outcome of a joint Knidian-Rhodian expedition to western Sicily under the leadership of Pentathlos of Knidos, in the fiftieth Olympiad, i.e. 580-576. According to the Eusebian chronology, the foundation took place in 630/29, but Diodorus' date is supported by the chronology of the votive material from the urban sanctuary and by mortuary evidence",,,,,False,,True,,True,"akropolis, temple, prytaneion","conflict, conquered"
35-Longane,Longane,Sikelia,38.05,15.1,,-460,,a C5m kerykeion inscribed; C5l coins; C5 evidence of Helation is found in the form of ashlar technique in the circuit wall,,,,,False,,True,,True,temple,
36-Megara,Megara,Sikelia,37.1,15.1,4,"-728, -750","-483, -213","According to Thucydides the Megarians were driven out by Gelon (in 483) 245 years after the foundation, giving a foundation date of 728, thus later than the foundation of Syracuse. Archaeological evidence has revealed Greek presence at Megara from C8m. The city must have been refounded by Timoleon c. 338. the C3l fortification erected before the final destruction of the city by Marcellus in 213.",2000:-700,"On the assumption that about half of this area was urbanised, the C7 population has been estimated at c. 2,000 (De Angelis (1994) 97-99), probably a much too pessimistic assessment (Hansen (1997b) 74 n. 153).",81,"Megara was founded on a flat coastal plateau of c. 81 ha, previously uninhabited.",True,"The expedition at first settled at Trotilos on the river Pantakyas, whence it moved on to Leontinoi and settled there with the Chalkidians for a while; it was, however, expelled and went on to settle at Thapsos. Here Lamis died; the remnants of the expedition left Thapsos and founded Megara on land put at their disposal by the Sikel king Hyblon. Later c.483 the demos was sold into slavery whereas the pachees were relocated to Syracuse and received citizenship there; Megara ceased to exist as a polis. The city must have been refounded by Timoleon c. 338.",False,,True,"agora, temple, stoa","conflict, conquered"
37-Morgantina,Morgantina,Sikelia,37.25,14.3,,-460,,"By c. 460, Greek-style coinage was introduced with types that attest to Greek cults. When captured and refounded by Douketios in 459/8, it became an axiologos polis according to Diod. 11.78.5.",,,,,True,"The Archaic town was situated on the Cittadella hill, whereas when captured and refounded by Douketios in 459/8, the new settlement on Serra Orlando was a city founded according to Greek customs with a formal urban layout.",True,,True,"akropolis, temple","conflict, conquered"
38-Mylai,Mylai,Sikelia,38.15,15.15,2,-716,,"Mylai was founded by Zankle (Ps.-Skymnos 287; cf. Strabo 6.2.6) in 716 (Euseb. Chron. sub Ol. 16.1). The earliest tombs are of C8l, thus confirming the Eusebian date (716) for the foundation.",,,,,False,,False,,True,"akropolis, temple","conflict, conquered"
39-Mytistratos,Mytistratos,Sikelia,37.35,14.0,,-600,,"The few C6-C5 and C4 urban remains, including a circuit wall built in an ashlar technique, are classified as Greek; the later phase with evidence of formal layout is probably Timoleontic. The main settlement was destroyed in C3f, but habitation continued on an adjoining terrace.",,,,,False,,True,,True,,conflict
40-Nakone,Nakone,Sikelia,,,,-420,,"Nakone minted two series of bronze coins from C5l (Head, HN² 159)",,,,,False,,True,democracy,,,conflict
41-Naxos,Naxos,Sikelia,37.5,15.15,4,-735,-403,"It was founded by settlers from Chalkis (no. 365) on Euboia one year before the foundation of Syracuse, i.e. traditionally 735/4 (Thuc. 6.3.1). In 403 Naxos was betrayed by one of its own citizens, Prokles... He surrendered Naxos to Dionysios I, who subjected the city to an exandrapodismos from which it never recovered; the chora of the city was handed over to the Sikels (Diod. 14.15.2-3).",,,35,Gates protected by towers were located in alignment with streets of the C7 city which covered an area of c. 35 ha.,True,"In 476, Hieron of Syracuse transplanted the population of Naxos (and Katane) to Leontinoi, where they were presumably granted citizenship (Diod. 11.49.2), and it seems that he settled new colonists at Naxos. The expatriated Naxians presumably returned after Hieron's death. After the destruction in 403, Naxian survivors were settled at Mylai during 394, and in 358 the Naxians were finally settled at Tauromenion by Andromachos.",True,,True,"agora, temple","conflict, conquered"
42-Petra,Petra (Petrinos),Sikelia,,,,-450,,"C4s coins; Diod. 23. 18. 5 (r 254) describes the Petrinoi as in possession of an urban centre, implicitly described as a polis.",,,,,False,,True,,,,
43-Piakos,Piakos,Sikelia,,,,-450,,C5s bronze coins; A silver litra of c. 400 is inscribed with the names of both Piakos and Adranon,,,,,False,,True,,,,
44-Selinous,Selinous,Sikelia,37.35,12.5,5,"-651, -628",-409,"According to Thuc. 6. 4. 2, Selinous was founded 100 years after the foundation of its metropolis Megara, i.e. c. 628/7. Diod. 13. 59. 4 supports the Eusebian date for the foundation of Selinous: 242 years before its destruction in 409/8, i.e. c. 651/50. The territorial disputes between Segesta and Selinous in 416 and 410 ultimately led to the destruction of Selinous in 409 by Carthage (Diod. 13. 55-57).",25600:-409,"a hint of the C5l size of population is found in the figures of 16,000 inhabitants killed and 5,000 captives taken by the Carthaginians in 409 (Diod. 13. 57. 6); this had already been preceded by the loss of 1,000 men in an ambush (Diod. 13. 44. 4 (r 410)). Even so, 2,600 escaped to Akragas (Diod. 13. 58. 3).",100.0,"The C6-C5 urban area comprised about 100 ha (Mertens (1989) fig. 4, (1999) fig. on p. 188).",False,,True,tyranny,True,"akropolis, agora, temple, theatre, stoa","conflict, conquered, fire"
45-Sileraioi,Sileraioi,Sikelia,,,,,,,,,,,False,,True,,,,
46-Stielanaioi,Stielanaioi,Sikelia,37.1,14.55,,-500,,"The Stielanaioi are considered a Greek community by Mirone (1928), followed by Ziegler (1940), founded C5e in the hinterland of Katane (no. 30) and Leontinoi (no. 33) in the aftermath of the Deinomenid aggression against these cities.",,,,,False,,True,,,,
47-Syrakousai,Syrakousai,Sikelia,37.05,15.15,5,"-733, -750",,"Thuc. 6.3.2 gives the foundation date as 733/2 (supported by Eusebios, cf. Bérard (1957) 120 with refs.). However, a date c. C8m is indicated by Marmor Parium (FGrHist 239) A 31, which places Archias seven generations after Temenos and the return of the Herakleidai.",45000:-500,"Drögemüller (1969) 100 suggests an urban population of 40,000-45,000 for Syracuse, a guesstimate which may be a little on the high side in view of the size of the C5 habitation area, c. 150 ha (infra).",200,"from the time of the conflict with Athens, the size of the city was about 150 ha, and in the Heltic period as much as 200 ha.",True,"Syracuse experienced many population relocations during the Classical period. Gelon transplanted and granted Syracusan citizenship to all Kamarinaians, half the Geloans, the pachees of Megara and Euboia, and over 10,000 mercenaries. Dionysios I enlarged the citizen body by enrolling freed slaves and inhabitants of Leontinoi, Kaulonia, and Hipponion. Timoleon relocated populations including people of Agyrion, Leontinoi, and settled thousands of new colonists. A koinon dogma reversed all population relocations of C5f.",True,democracy,True,"akropolis, agora, temple, bouleuterion, ekklesiastierion, theatre","conflict, conquered"
48-Tauromenion,Tauromenion,Sikelia,37.5,15.15,,-400,,"So as a Greek polis Tauromenion was a C4f foundation; however, there is some archaeological evidence of C7 Greek presence at the site. If this Dionysian settlement of mercenaries was not in fact the foundation of the Greek polis (it may have struck coins, infra), then the polis must have come into being after this event and before the inscribing of the Delian inventories c. 374-367.",,,65,"The settlement comprises c. 65 ha, excluding the upper part of Monte Tauro above the city (perhaps a fortified acropolis).",False,,True,tyranny,True,"akropolis, agora, temple, theatre","conflict, conquered"
49-Tyndaris,Tyndaris,Sikelia,38.1,15.05,,-396,,Tyndaris was founded as a fortress by Dionysios I in 396 (Diod. 14. 78. 5),5000:-396,"By admission of new settlers shortly after the foundation the population of Tyndaris grew to more than 5,000 (Diod. 14. 78. 6).",14.0,The size of the city was about 14 ha.,False,,True,,True,"agora, theatre",conflict
50-Tyrrhenoi,Tyrrhenoi,Sikelia,,,,,,,,,,,False,,True,,,,conflict
51-Zankle,Zankle/Messana,Sikelia,38.1,15.35,4,-735,,"Zankle was founded by Naxos (no. 41) as a sub-colony at the same time as Katane (no. 30) and Leontinoi (no. 33), i.e. c. 735-730. The date seems to be confirmed by the archaeological evidence",4400:-399,"Diod. 14.40.4 (r 399) mentions an army of 4,000 foot and 400 horse, in addition to thirty triremes.",60,"in all c. 50-60 ha (Vallet (1958) 113-16, pl. I; Scibona (1986))",True,"The change of name from Zankle to Messana occurred c. 488/7 and was the result of tumultuous events: Anaxilas of Rhegion drove out the Samians, founded a city of mixed ethnicity, and changed the name to Messana after his own original homeland. In 396 Himilkon captured Messana, but in 395 the city was repopulated by Dionysios, who settled 1,000 Lokrians, 4,000 Medmaians and 600 Peloponnesian Messenians.",True,tyranny,True,"temple, theatre","conflict, conquered, earthquake"
52-Herakleia,Herakleia,Italia and Kampania,40.15,16.4,4,-432,,Diod. 12. 36. 4 dates the foundation to 433/2 and treats it as a purely Tarantine enterprise. Herakleia was a joint foundation of Taras (no. 71) and Thourioi (no. 74).,,,140,"Recently an overall, contemporary 433/2 occupation of the whole site has been argued, comprising an urban area of c. 140 ha",True,"According to Antiochos, 'Herakleia' was not the original name: the city was thus named only after having changed its location, and a combination of Diodorus and Antiochos would suggest that the city was originally founded as Siris at the site of Siris, but later relocated and then named Herakleia.",True,,True,"akropolis, agora, temple","conflict, conquered"
53-Hipponion,Hipponion,Italia and Kampania,38.4,16.05,3,-620,,Evidence from cemeteries and sanctuaries points to a C7l foundation date for Hipponion,,,80,"the extant remains of the c. 6 km-long circuit wall and the morphology of the site indicate a fortified area of about 80 ha; the urbanised area, presumably about the size of the mediaeval city, comprised about 40 ha",True,"In 388 Hipponion was conquered by Dionysios I of Syracuse, who relocated the inhabitants to Syracuse, razed the city, and handed over its territory to the Lokrians. The Carthaginians later restored the city to the 'Hipponiates in exile' c. 379.",True,,True,temple,"conflict, conquered"
54-Hyele,Hyele,Italia and Kampania,40.1,15.1,2,"-540, -535",,Hyele was founded by Phokaians (= Alalians (no. 1)) who had abandoned the Phokaian colony of Alalia on Corsica shortly after the battle of Alalia (c. 540-535) in which they had defeated Etruscan and Carthaginian forces but suffered severe losses themselves (Hdt. 1.166-67),6400:-535,"A crew of eighty with families gives a figure of between 240 and 320 per ship, in all c. 4,800-6,400 persons (Gras (1985) 421-22); other calculations have reached a similar figure of c. 6,000 (Johannowsky (1982) 225).",64.0,"The walls run for c. 4 km and enclose an area of c. 64 ha, comprising the 'Nordstadt'; but during the early history of the site the habitation area was probably confined to the acropolis and the adjacent hill, and covered c. 9 ha.",False,,True,tyranny,True,"akropolis, temple, bouleuterion, theatre, stoa",conflict
55-Kaulonia,Kaulonia,Italia and Kampania,38.25,16.35,3,-620,-389,"The existence of a C6e circuit wall (Tréziny (1989) 129) points to a foundation in C7s, though Greek finds go back to C8l (Tréziny (1988) 205). In 389 Kaulonia was besieged and taken by Dionysios I of Syracuse (Diod. 14.103 ff)... the city was razed to the ground, and the territory handed over to Lokroi. A refoundation c. 357 by Dionysios II of Syracuse may be inferred from Diod. 16.10.2, 11.3.",,,46,"The Archaic walls therefore delimited an area of either 35-36 ha or 45-46 ha, the latter figure being the extent of the Heltic city.",True,"In 389 Kaulonia was besieged and taken by Dionysios I of Syracuse. The citizens of Kaulonia were relocated to Syracuse, granted citizenship and exempted from taxes for five years; the city was razed to the ground, and the territory handed over to Lokroi. A refoundation c. 357 by Dionysios II of Syracuse may be inferred from Diod. 16.10.2, 11.3.",True,,True,"temple, theatre","conflict, conquered"
